id,email,name,user_type,created_at,spaces_owned,projects_owned
290,register-1776360106506@hltrn.cc,New User,human,Thu Apr 16 2026 20:21:46 GMT+0300 (Moscow Standard Time),1,2
854,register-1776360180839@hltrn.cc,New User,human,Thu Apr 16 2026 20:23:00 GMT+0300 (Moscow Standard Time),1,2
1289,register-1776360247162@hltrn.cc,New User,human,Thu Apr 16 2026 20:24:07 GMT+0300 (Moscow Standard Time),1,2
1624,register-1776360378848@hltrn.cc,New User,human,Thu Apr 16 2026 20:26:18 GMT+0300 (Moscow Standard Time),1,2
2700,register-1776361250530@hltrn.cc,New User,human,Thu Apr 16 2026 20:40:50 GMT+0300 (Moscow Standard Time),1,2
3110,register-1776361711329@hltrn.cc,New User,human,Thu Apr 16 2026 20:48:31 GMT+0300 (Moscow Standard Time),1,2
3522,register-1776361827012@hltrn.cc,New User,human,Thu Apr 16 2026 20:50:27 GMT+0300 (Moscow Standard Time),1,2
4095,register-1776361932372@hltrn.cc,New User,human,Thu Apr 16 2026 20:52:12 GMT+0300 (Moscow Standard Time),1,2
4627,register-1776362032786@hltrn.cc,New User,human,Thu Apr 16 2026 20:53:52 GMT+0300 (Moscow Standard Time),1,2
5138,register-1776362137277@hltrn.cc,New User,human,Thu Apr 16 2026 20:55:37 GMT+0300 (Moscow Standard Time),1,2
5697,register-1776756662126@hltrn.cc,New User,human,Tue Apr 21 2026 10:31:02 GMT+0300 (Moscow Standard Time),1,2
6161,register-1776756767963@hltrn.cc,New User,human,Tue Apr 21 2026 10:32:48 GMT+0300 (Moscow Standard Time),1,2
