id,email,name,audits,dashboards,spaces_owned
1628,test-auth-1776360379485-juhbuy@hltrn.cc,Test User,1,0,0
3524,test-auth-1776361827421-i7kiqi@hltrn.cc,Test User,1,0,1
1298,test-auth-1776360247628-2acwu5@hltrn.cc,Test User,1,0,1
1627,test-auth-1776360379296-xdkmeq@hltrn.cc,Test User,1,0,1
2726,test-auth-1776361251227-yftdzj@hltrn.cc,Test User,1,0,0
3126,test-auth-1776361711962-r17j4g@hltrn.cc,Test User,1,0,0
296,test-auth-1776360107173-uqkrj4@hltrn.cc,Test User,1,0,0
871,test-auth-1776360181437-a5hih7@hltrn.cc,Test User,1,0,0
1302,test-auth-1776360248000-ztb4r0@hltrn.cc,Test User,1,0,0
1626,test-auth-1776360379115-unqs9q@hltrn.cc,Test User,1,0,1
2717,test-auth-1776361250851-5292ya@hltrn.cc,Test User,1,0,1
2721,test-auth-1776361251030-chy29s@hltrn.cc,Test User,1,0,1
3115,test-auth-1776361711634-80fq1u@hltrn.cc,Test User,1,0,1
3121,test-auth-1776361711799-fybg7e@hltrn.cc,Test User,1,0,1
294,test-auth-1776360106837-cllzz4@hltrn.cc,Test User,1,0,1
295,test-auth-1776360107002-pf98zb@hltrn.cc,Test User,1,0,1
862,test-auth-1776360181109-4gls2o@hltrn.cc,Test User,1,0,1
866,test-auth-1776360181283-vrogke@hltrn.cc,Test User,1,0,1
1300,test-auth-1776360247832-ty2u5t@hltrn.cc,Test User,1,0,1
3529,test-auth-1776361827618-vvmf15@hltrn.cc,Test User,1,0,1
