id,email,name,audits,dashboards,spaces_owned
7027,test-auth-1777269633780-9d614z@hltrn.cc,Test User,1,0,0
7017,test-auth-1777269633217-053qz6@hltrn.cc,Test User,1,0,1
8764,test-auth-1777280131824-5j13am@hltrn.cc,Test User,1,0,1
8771,test-auth-1777280132190-k04tjd@hltrn.cc,Test User,1,0,0
7467,test-auth-1777269701461-pzchjl@hltrn.cc,Test User,1,0,0
7928,test-auth-1777280032965-udxzoa@hltrn.cc,Test User,1,0,0
6568,test-auth-1777269574153-w5hj68@hltrn.cc,Test User,1,0,1
6577,test-auth-1777269574564-xym9cb@hltrn.cc,Test User,1,0,0
8769,test-auth-1777280132016-nfteb7@hltrn.cc,Test User,1,0,1
7022,test-auth-1777269633468-m0wnhi@hltrn.cc,Test User,1,0,1
7456,test-auth-1777269701075-ytwssn@hltrn.cc,Test User,1,0,1
7461,test-auth-1777269701272-28bjpj@hltrn.cc,Test User,1,0,1
7918,test-auth-1777280032311-uo9wmx@hltrn.cc,Test User,1,0,1
7922,test-auth-1777280032745-io0xd2@hltrn.cc,Test User,1,0,1
8290,test-auth-1777280080834-yqnrfg@hltrn.cc,Test User,1,0,1
8304,test-auth-1777280081025-0lgyy5@hltrn.cc,Test User,1,0,1
6573,test-auth-1777269574356-hmhwox@hltrn.cc,Test User,1,0,1
8313,test-auth-1777280081207-0gvbxa@hltrn.cc,Test User,1,0,0
6658,test-columns-1777269577834@hltrn.cc,Test User,0,0,1
6527,test-wa-1777269572334-mleybk@hltrn.cc,Test User,0,0,1
